"","r1","r2","h","effect_5","effect_10","effect_15","effect_20"
"X","CAL","CAL","0","0",NA,NA,NA
"X.1","CAL","CAL","1","0",NA,NA,NA
"X.2","CAL","CAL","2","0",NA,NA,NA
"X.3","CAL","CAL","3","0",NA,NA,NA
"X.4","CAL","CAL","4","0",NA,NA,NA
"X.5","CAL","CAL","5","0",NA,NA,NA
"X.6","CAL","CAL","6","0",NA,NA,NA
"X.7","CAL","CAL","7","15.329956954482","30.7332212482026","46.2082583083252","61.7535102587279"
"X.8","CAL","CAL","8","66.9939628562559","128.274463154641","184.799813179099","237.555352549195"
"X.9","CAL","CAL","9","155.114443108544","318.381645900725","485.472459517883","651.316018416915"
"X.10","CAL","CAL","10","190.54980854512","370.717274410286","533.347037592552","673.203000465278"
"X.11","CAL","CAL","11","189.463871997136","360.327434469552","506.506752242957","624.911547723408"
"X.12","CAL","CAL","12","189.131557767237","359.129120992647","504.023224655651","620.898781768675"
"X.13","CAL","CAL","13","189.390752213343","360.058961826204","505.946391586407","624.002496471257"
"X.14","CAL","CAL","14","189.427522478243","360.193601169257","506.227115199225","624.457629949913"
"X.15","CAL","CAL","15","190.828248207239","370.194347670508","531.013033959654","668.27077065964"
"X.16","CAL","CAL","16","180.134807681302","360.434079337198","534.209558601622","695.135343757327"
"X.17","CAL","CAL","17","121.065261486099","252.886877398226","394.048706044447","542.160972260818"
"X.18","CAL","CAL","18","74.3793334354151","142.711457420287","205.510924773294","263.359498256597"
"X.19","CAL","CAL","19","11.0688332129146","22.1823698796483","33.3400393872754","44.541263273815"
"X.20","CAL","CAL","20","1.29408059338629","2.58902827188327","3.88484219559031","5.18152152221599"
"X.21","CAL","CAL","21","0.168860509093965","0.337736403267927","0.506627680690399","0.675534339528499"
"X.22","CAL","CAL","22","0",NA,NA,NA
"X.23","CAL","CAL","23","0",NA,NA,NA
"X.24","NW","CAL","0","1.29312272081512","2.58741557192117","3.88287770664389","5.17950827427488"
"X.25","NW","CAL","1","0.0668544953975221","0.133712276489315","0.200573343163693","0.267437695309647"
"X.26","NW","CAL","2","0.0668544953975221","0.133712276489315","0.200573343163693","0.267437695309647"
"X.27","NW","CAL","3","0.0668544953975221","0.133712276489315","0.200573343163693","0.267437695309647"
"X.28","NW","CAL","4","0.0668544953975221","0.133712276489315","0.200573343163693","0.267437695309647"
"X.29","NW","CAL","5","0.0668544953975221","0.133712276489315","0.200573343163693","0.267437695309647"
"X.30","NW","CAL","6","0.133843659603693","0.267700452596887","0.401570378082625","0.535453435163811"
"X.31","NW","CAL","7","2.49053139202445","4.98520405184102","7.48401169357732","9.98694797964044"
"X.32","NW","CAL","8","34.4452709153167","69.1112283123551","103.97828014647","139.02655581839"
"X.33","NW","CAL","9","51.9307397078284","98.5252658233333","140.768481038873","179.515282301142"
"X.34","NW","CAL","10","50.811249081109","100.813904353915","148.66778049615","192.799817906295"
"X.35","NW","CAL","11","51.6754075957154","97.4419542309176","135.599185818476","165.372767560149"
"X.36","NW","CAL","12","50.4205612566411","93.8074610255854","128.758701556015","154.979093468114"
"X.37","NW","CAL","13","50.8998084212914","95.139164609303","131.201882122807","158.623906071921"
"X.38","NW","CAL","14","51.5949706541585","97.19109963322","135.106921343832","164.603174363381"
"X.39","NW","CAL","15","51.7955236672696","97.8238331035863","136.356225247192","166.56429491059"
"X.40","NW","CAL","16","52.6683765549162","102.214667049461","146.744004956791","184.69406643774"
"X.41","NW","CAL","17","48.3809286983372","96.7900186315896","144.513254988649","190.412667272928"
"X.42","NW","CAL","18","41.7664167465512","81.5262484823392","120.073319327361","158.02419169934"
"X.43","NW","CAL","19","78.8344925320573","151.391924774597","217.987936203682","278.994092398581"
"X.44","NW","CAL","20","17.0594929370832","34.2328925872548","51.5178090858535","68.9118007938605"
"X.45","NW","CAL","21","4.84493127812183","9.70418919996769","14.5777247866708","19.4654884116773"
"X.46","NW","CAL","22","2.56213732144761","5.12864530963084","7.69951710663038","10.2747457968373"
"X.47","NW","CAL","23","1.78160089636088","3.56538048704457","5.35133652065971","7.13946673169745"
"X.48","SW","CAL","0","2.9340924451895","5.87399958472091","8.8197001321897","11.7711726401922"
"X.49","SW","CAL","1","1.37290177234254","2.74718446477154","4.12284594985406","5.49988409145332"
"X.50","SW","CAL","2","1.24574782526658","2.49264024348354","3.74067566908243","4.98985251053548"
"X.51","SW","CAL","3","1.11905684138163","2.23904348444911","3.35995878267754","4.48180158562373"
"X.52","SW","CAL","4","0.992830853828373","1.98639846753394","2.98070204246035","3.97574077749996"
"X.53","SW","CAL","5","0.992830853828373","1.98639846753394","2.98070204246035","3.97574077749996"
"X.54","SW","CAL","6","2.80154891438039","5.60843554349134","8.42064139055899","11.2381478236271"
"X.55","SW","CAL","7","16.6352598600534","33.358785409866","50.1665261972298","67.0543783169658"
"X.56","SW","CAL","8","58.7071461485734","114.142800106094","166.680833415051","216.709942917649"
"X.57","SW","CAL","9","107.241712543397","227.659495838051","363.498819655089","516.133881067797"
"X.58","SW","CAL","10","226.875255848509","472.282549198344","726.970011766535","979.398366719162"
"X.59","SW","CAL","11","257.147652492734","524.272948211819","788.039433873836","1034.7787038256"
"X.60","SW","CAL","12","254.998034282055","520.832015092259","784.44066946591","1032.23288694057"
"X.61","SW","CAL","13","250.552818130087","513.567120126419","776.563248865134","1026.15649816364"
"X.62","SW","CAL","14","248.646644349505","510.395588660184","773.020745543623","1023.24309324387"
"X.63","SW","CAL","15","226.875255848509","472.282549198344","726.970011766535","979.398366719162"
"X.64","SW","CAL","16","196.606059916113","415.093632045206","650.237150897702","893.857924612653"
"X.65","SW","CAL","17","91.5500201966038","192.403690535868","304.882205963229","430.984770952771"
"X.66","SW","CAL","18","59.3687977886014","115.464618031704","168.570382111718","218.994862383559"
"X.67","SW","CAL","19","34.5623794464526","69.1259384508095","103.657604229331","138.124764120619"
"X.68","SW","CAL","20","21.3460777736309","42.7960343667344","64.3414358252851","85.9737681130917"
"X.69","SW","CAL","21","16.6352598600534","33.358785409866","50.1665261972298","67.0543783169658"
"X.70","SW","CAL","22","12.0525230731948","24.1658289717164","36.3383696797508","48.568574671879"
"X.71","SW","CAL","23","5.81421619734876","11.6481181834835","17.5015355321623","23.3742958226374"
"X.72","CAR","CAR","0","0",NA,NA,NA
"X.73","CAR","CAR","1","0",NA,NA,NA
"X.74","CAR","CAR","2","0",NA,NA,NA
"X.75","CAR","CAR","3","0",NA,NA,NA
"X.76","CAR","CAR","4","0",NA,NA,NA
"X.77","CAR","CAR","5","0",NA,NA,NA
"X.78","CAR","CAR","6","0",NA,NA,NA
"X.79","CAR","CAR","7","0",NA,NA,NA
